Subject,Title,Author,ISBN,Summary
Architecture,"Fortaleza em Tempo de Carnaval: Blocos de Pré-Carnaval, Maracatus e a política de Editais",Danielle Maia,6588492863.0,"Resultado de uma tese de doutorado defendida em 2013, no Programa de Pós-Graduação em Sociologia, da Universidade Federal do Ceará, este livro, por meio de uma descrição etnográfica, conduz o leitor pelo Tempo de Carnaval em Fortaleza  expressão aqui utilizada para se referir ao ciclo anual carnavalesco que se inicia na cidade com o pré-Carnaval, geralmente um mês antes do Carnaval propriamente dito, e prolonga-se até a chamada terça-feira gorda, quando cessam as atividades carnavalescas ocorridas nos três dias do feriado nacional que antecede a quaresma. Com base em amplo material de pesquisa, apresento e analiso o processo de mudanças das festas carnavalescas de Fortaleza, ocorrido nos anos 2000. No âmbito das festas de Carnaval na cidade, das medidas tomadas pela prefeitura, a criação da política de editais é a de maior interesse para os objetivos aqui propostos, pois estabeleceu uma nova dinâmica na concessão de recursos, além de diferentes relações entre os brincantes e o poder público, bem como outras configurações festivas e formas de controle da festa."
Architecture,Dimensions. Journal of Architectural Knowledge,Virginie Roy,3839458315.0,"»Dimensions. Journal of Architectural Knowledge« is an academic journal in, on and from the discipline of architecture, addressing the creation, constitution and transmission of architectural knowledge. It explores methods genuine to the discipline and architectural modes of interdisciplinary methodological adaptions. Processes, procedures and results of knowledge creation and practice are esteemed coequally, with particular attentiveness to the architectural design and epistemologies of aesthetic practice and research. Dimensions Issue 02/2021, edited by Katharina Voigt and Virginie Roy, investigates lived experience as source for the constitution of knowledge. This edition is concerned with the movements of exploration and the inner sensations of being moved by experience. Addressing situational experience allows bringing implicit dimensions of perception to attention, enabling a tangible understanding to emerge - for the actual encounter, as well as connected to memory and imagination. Practitioners and scholars from various disciplines open the realm for theoretical, applied and practice-related forms of research, whilst all contributions are aligned to enrich the discourse of architecture and its versatile dimensions."
Architecture,Sourcing Land for Urban Development,Jit Kumar Gupta,9800000000000.0,"This book, 'Sourcing Land for Urban Development- Issues and Options', is a compilation of a number of articles, written over a period of time, with a focus on making optimum use of urban land for rationalizing and promoting planned and orderly development of urban settlements. Articles try to define and detail prevailing practices used for sourcing land for meeting the need of housing, industry, trade and commerce, institutions, etc. of cities and towns. Articles also try to detail innovative options, which can be leveraged for making available adequate land for meeting the urban needs at the most affordable price; using innovatively land as a resource, to make cities slum-free and promote infrastructure development to ensure appropriate quality of life to all urban residents; generating resources for urban local bodies for funding different development projects."
Architecture,Vienna,Yuri Kazepov,1000540448.0,"This book explores and debates the urban transformations that have taken place in Vienna over the past 30 years and their consequences in policy fields such as labour and housing, political and social participation and the environment. Historically, European cities have been characterised by a strong association between social cohesion, quality of life, economic ambition and a robust State. Vienna is an excellent example for that. In more recent years, however, cities were pressured to change policy principles and mechanisms in the context of demographic shifts, post-industrial transformations and welfare recalibration which have led to worsened social conditions in many cities. Each chapter in this volume discusses Viennas responses to these pressures in key policy arenas, looking at outcomes from the context-specific local arrangements. Against a theoretical framework debating the European city as a model of inclusion and social justice, authors explore the local capacity to innovate urban policies and to address new social risks, while paying attention to potential trade-offs. The book questions and assesses the citys resilience using time series and an institutional analysis of four key dimensions that characterise the European city model within the context of post-industrial transition: redistribution, recognition, representation and sustainability. It offers a multiscalar perspective of urban governance through labour, housing, participatory and environmental policies, bringing together different levels and public policy types. Vienna: Still a Just City? is aimed at academics, researchers and policy-makers in urban studies, including urban sociology, ecology, geography and welfare."
Architecture,Climate Adaptation and Resilience Across Scales,Nicholas B. Rajkovich,1000470997.0,"Climate Adaptation and Resilience Across Scales provides professionals with guidance on adapting the built environment to a changing climate. This edited volume brings together practitioners and researchers to discuss climate-related resilience from the building to the city scale. This book highlights North American cases that deal with issues such as climate projections, public health, adaptive capacity of vulnerable populations, and design interventions for floodplains, making the content applicable to many locations around the world. The contributors in this book discuss topics ranging from how built environment professionals respond to a changing climate, to how the building stock may need to adapt to climate change, to how resilience is currently being addressed in the design, construction, and operations communities. The purpose of this book is to provide a better understanding of climate change impacts, vulnerability, and resilience across scales of the built environment. Architects, urban designers, planners, landscape architects, and engineers will find this a useful resource for adapting buildings and cities to a changing climate."
Architecture,Ardeth #09,Felipe Hernández,9790000000000.0,"Architecture is an inward looking discipline. Its history conveys the norms of the discipline to an audience composed mostly of architects, who are familiar with the work of their predecessors-from whom they learnt, or for whom they worked. As such, architecture singularises the multiple processes through which space is produced, excluding difference in the pursuit of coherent narratives to sustain its authority, and does so mainly through the figure of the architect. For a long time now, critics have shown how that figure is principally male. However, little has been said about the fact that the figure of the architect is also white; a racial classification that refers not only to epidermal characteristics, but to their national origin, education, and in most cases their class affiliation."
Architecture,Le monete di Lucca. Dal periodo longobardo al Trecento,Monica Baldassarri,8892850776.0,"La monetazione di Lucca è tra le più studiate sia in ambito regionale che, in parte, in quello italiano. Lantichità e la continuità operativa della zecca cittadina, attiva dallepoca longobarda sino alle soglie dellEtà Contemporanea, hanno attratto lattenzione degli studiosi di storia monetaria e numismatica sin dal Seicento. Sebbene siano state numerose le ricerche e le pubblicazioni sulle monete lucchesi di età medievale, diverse sono le questioni rimaste aperte e svariati gli aspetti da approfondire. I nuovi rinvenimenti, cresciuti negli ultimi cinquantanni di sviluppo dellArcheologia Medievale in Italia e in ambito mediterraneo, associati a rinnovati studi tipologici sui materiali e alle possibilità offerte dalle analisi archeometriche, hanno offerto alcune risposte ad antichi quesiti, e ne hanno al contempo posti altri. Il volume ripercorre le principali tappe della produzione monetale di Lucca, dal periodo longobardo sino allo scorcio del Trecento, alla luce dei dati acquisiti dagli studi nel corso del tempo e di alcune evidenze ed esemplari inediti, proponendo in alcuni casi nuove classificazioni, datazioni ed interpretazioni, oltre che spunti per ulteriori sviluppi della ricerca."
Architecture,La arquitectura de la destrucción,Guillermo Iván López Domínguez ,6075135839.0,"¿Podrá tener la arquitectura el derecho a una muerte digna? El objetivo arquitectónico ha sido tradicionalmente asumido como algo permanente, perdurable y sólido, ha sido un depósito de ideales de trascendencia. Cuestionar la vigilancia de estas ideas es un buen punto de partida para revisar los supuestos sobre lo que se construye la disciplina, descubrir y entender mejor otra serie de procedimientos y operaciones que pueden ser utilizadas. El proceso edificatorio de construcción es sólo el principio de la vida material de una obra que, a lo largo del tiempo, tendrá que enfrentarse, en la mayoría de los casos, a la decadencia y al deterioro."
Architecture,Nuevos espacios para nuevos retos,"Rupérez Almajano, María Nieves",8413116813.0,"El Campus Unamuno conforma un conjunto arquitectónico y urbanístico singular, que en sí mismo es un buen reflejo de la vitalidad de la Universidad de Salamanca. En las últimas décadas, la creación de nuevas titulaciones y el notable incremento de alumnos exigieron a la Universidad de Salamanca disponer de nuevas infraestructuras para desarrollar sus funciones y le obligaron a expandirse más allá de lo que había sido su antiguo centro neurálgico, consolidando al mismo tiempo la expansión de la ciudad hacia el Suroeste. A través de este libro se pretende poner en valor este rico patrimonio universitario, que al mismo tiempo constituye un hito en la imagen arquitectónica de la Salamanca contemporánea."
Architecture,Tauste en su Historia. Acta de las XXII Jornadas,Varios Autores,8409398486.0,"San Miguel, Tauste 1421. Apuntes para la biografía de un arcángel. Enrique Galé Casajús El patrimonio como recurso. El caso ejemplarizante de Albarracín. Antonio Jiménez Martínez Los votos aragoneses. Armas contra las catástrofes. Ma Jesús Torreblanca Gaspar"
Architecture,Cities After Crisis,Carlos Garcia Vazquez,1000440494.0,"Cities After Crisis shows how urbanism and urban design is redefining cities after the global health, economic, and environmental crises of the past decades. The book details how these crises have led to a new urban visionfrom avantgarde modern design to an artisan aesthetic that calls for simplicity and the everyday, from the sustainable development paradigm to a resilient vision that defends de-growth and the re-wilding of cities, from a homogenizing globalism to a new localism that values what is distinctive and nearby, from the privatization of the public realm to the commoning and self-governance of urban resources, and from top-down to bottom-up processes based on the engagement and empowerment of communities. Through examples from cities around the world and a detailed look at the London neighbourhood of Dalston, the book shows designers and planners how to incorporate residents into the decision-making process, design inclusive public spaces that can be permanently reconfigured, reimagine obsolete spaces to accommodate radically contemporary uses, and build gardens designed and maintained by the community, among other projects."
Architecture,LA EUROCIUDAD DEL GUADIANA,Juan Antonio Márquez Domínguez,8418984112.0,"La Eurociudad del Guadiana emerge como territorio vivido, con vecinos de España y Portugal. La Eurociudad del Guadiana, extendida por los términos municipales de Ayamonte, Castro Marim y Vila Real de Santo Antonio, es el triunfo de los actores locales que quieren diluir la frontera frente a los Estados, que históricamente insistieron en marcar los límites, construyendo castillos y torres de vigilancia. Hace más de 25 años que España y Portugal forman parte de la Unión Europea, basándose en la libre circulación de personas, mercancías y capitales. En este contexto, eliminar los efectos más perniciosos de la frontera, como el aislamento que impedía la relación entre territorios, fue una meta. Pero, no es ni fue una tarea fácil, porque casi toda la frontera hispano lusa sufre las lacras de la perificidad y el vaciado demográfico, engarzado en procesos históricos de miedos y guerras. La desactivación de las fronteras se hizo con financiación de fondos europeos para remozar algunos núcleos de poblamiento y construir carreteras y puentes, cosiendo territorios separados, como si de un vestido roto se tratase. Por suerte la Eurociudad del Guadiana cuenta con cuantiosos recursos que se articulan alrededor del viejo río Anas, con un potente nervio económico en el turismo y promesas francamente interesantes en la agricultura. El libro Eurociudad del Guadiana es una presentación amable, pero real, de un territorio con grandes posibilidades."
Architecture,A pie o en bici. Perspectivas y experiencias en torno a la movilidad activa,Borja Ruiz-Apilánez,8490444390.0,"Los modelos de desarrollo urbano, de ocupación territorial y de movilidad con los que hemos sobreocupado y sobreexplotado La Tierra durante las últimas décadas han desencadenado la actual crisis medioambiental que tiene repercusiones directas también sobre las personas. Un cambio del modelo de movilidad que priorice los modos peatonal y ciclista los principales modos activos puede contribuir de forma decisiva a combatir y superar estas crisis. Este libro presenta once perspectivas y once experiencias en torno a la movilidad activa y se dirige a todas las personas interesadas en el presente y futuro de nuestro planeta, y en su propio bienestar. Cada perspectiva se aproxima a la movilidad activa poniendo el acento en un aspecto concreto: la salud pública, el medio ambiente, el diseño viario, la forma urbana, el planeamiento urbanístico, la gobernanza, la participación ciudadana, el urbanismo táctico, la comunicación, las nuevas fuentes de datos y las áreas urbanas históricas. Las experiencias son las de once ciudades europeas en su mayoría, españolas de características y tradiciones culturales muy diversas. Es un trabajo colectivo en el que han participado casi treinta autores. Gestores públicos, urbanistas, investigadores y docentes universitarios todos con un interés común en transmitir la necesidad de cambiar nuestro modelo de transporte urbano, dando a los modos activos el protagonismo que nuestro planeta y nosotros mismos merecemos."
Architecture,Oil Spaces,Carola Hein,1000449491.0,"Oil Spaces traces petroleums impact through a range of territories from across the world, showing how industrially drilled petroleum and its refined products have played a major role in transforming the built environment in ways that are often not visible or recognized. Over the past century and a half, industrially drilled petroleum has powered factories, built cities, and sustained nation-states. It has fueled ways of life and visions of progress, modernity, and disaster. In detailed international case studies, the contributors consider petroleums role in the built environment and the imagination. They study how petroleum and its infrastructure have served as a source of military conflict and political and economic power, inspiring efforts to create territories and reshape geographies and national boundaries. The authors trace ruptures and continuities between colonial and postcolonial frameworks, in locations as diverse as Sumatra, northeast China, Brazil, Nigeria, Tanzania, and Kuwait as well as heritage sites including former power stations in Italy and the port of Dunkirk, once a prime gateway through which petroleum entered Europe. By revealing petroleums role in organizing and imagining space globally, this book takes up a key task in imagining the possibilities of a post-oil future. It will be invaluable reading to scholars and students of architectural and urban history, planning, and geography of sustainable urban environments."
Architecture,ANI IN EVERY ASPECT,Prof. Dr. Oktay Belli,9757641758.0,"Touring and Automobile Association of Turkey, founded by Reit Saffet Atabinen with the name Travellers Association of Turkey on November 6, 1923, a week after the proclamation of the Republic, has been active for 96 years, laying an example with its activities towards public benefit."
Art,Observant Reforms and Cultural Production in Europe,Pietro Delcorno,9493296083.0,"The impetus of religious reform between ca. 1380-1520, which expressed itself in a variety of Observant initiatives in many religious orders all over Europe, and also brought forth the Devotio moderna movement in the late medieval Low Countries, had considerable repercussions for the production of a wide range of religious texts, and the embrace of other forms of cultural production (scribal activities, liturgical innovations, art, music, religious architecture). At the same time, the very impetus of reform within late medieval religious orders and the wish to return to a more modest religious lifestyle in accordance with monastic and mendicant rules, and ultimately with the commands of Christ in the Gospel, made it difficult to wholeheartedly embrace the material consequences of learning, literary and artistic prowess, as the very pursuit of such pursuits ran against basic demands of evangelical poverty and humility. This volume explores how this tension was negotiated in various Observant and Devotio moderna contexts, and how communities connected with these movements instrumentalized various types of writing, learning, and other forms of cultural expression to further the cause of religious reform, defend it against order-internal and external criticism, to shape recognizable reform identities for themselves, and to transform religious life in society as a whole."
Art,Toxic Heritage,Elizabeth Kryder-Reid,1000918017.0,"Toxic Heritage addresses the heritage value of contamination and toxic sites and provides the first in-depth examination of toxic heritage as a global issue. Bringing together case studies, visual essays, and substantive chapters written by leading scholars from around the world, the volume provides a critical framing of the globally expanding field of toxic heritage. Authors from a variety of disciplinary perspectives and methodologies examine toxic heritage as both a material phenomenon and a concept. Organized into five thematic sections, the book explores the meaning and significance of toxic heritage, politics, narratives, affected communities, and activist approaches and interventions. It identifies critical issues and highlights areas of emerging research on the intersections of environmental harm with formal and informal memory practices, while also highlighting the resilience, advocacy, and creativity of communities, scholars, and heritage professionals in responding to the current environmental crises. Toxic Heritage is useful and relevant to scholars and students working across a range of disciplines, including heritage studies, environmental science, archaeology, anthropology, and geography."
Art,Eternal Kavita,His Holiness Sri Yogi Akshay Bhat,9800000000000.0,"Eternal Kavita"" (Eternal Poetry) or ""Sanatan Kavita"" is a collection of poems and verses that delve into the profound wisdom of Hinduism(Sanatan Dharma) and the spiritual path of yoga. It is a journey through the timeless teachings of the ancient sages and the realization of the ultimate truth of our existence. ""Eternal Kavita"" aims to inspire and guide the reader on their own spiritual journey. Through these words of the poet"
Art,Diálogos e Resistências: a África no Brasil e o Brasil na África,Paulo Daniel Elias Farah,8562729159.0,"Este livro visa familiarizar professores, educadores e pesquisadores com temas vinculados às realidades africanas e afro-brasileiras para estimulá-los a aprofundar seus conhecimentos com vistas especialmente a poderem abordar com mais consistência assuntos relacionados à lei 10.639/03 (alterada pela lei 11.645/08). A obra reúne textos de autores que participaram do curso Diálogos e Resistências: a África no Brasil e o Brasil na África, oferecido desde 2013 pelo Núcleo de Apoio à Pesquisa Brasil África, da Universidade de São Paulo (USP). Com uma proposta de abordagem interdisciplinar, de acordo com o perfil da equipe e com as diretrizes da lei, trata de questões ligadas à história da África; da produção literária e artística de africanos (incluindo literaturas africanas em árabe e em ajam), assim como daquela realizada por brasileiros ligados às matrizes culturais africanas; da arte africana; de aspectos do tráfico de escravizados que estão na base da formação da sociedade brasileira; dos relatos de viagem sobre o continente africano; da oralidade e da escrita; de propostas de relação com regiões do continente africano elaboradas no presente; das relações entre Brasil e África; de abordagens interculturais na educação e de sequências didáticas e suas potencialidades no ensino sobre África e Brasil, entre outros temas."
Art,At the Edges of Sleep,Jean Ma,520384520.0,"A free open access ebook is available upon publication. Learn more at www.luminosoa.org. Many recent works of contemporary art, performance, and film turn a spotlight on sleep, wresting it from the hidden, private spaces to which it is commonly relegated. At the Edges of Sleep considers sleep in film and moving image art as both a subject matter to explore onscreen and a state to induce in the audience. Far from negating action or meaning, sleep extends into new territories as it designates ways of existing in the world, in relation to people, places, and the past. Defined positively, sleep also expands our understanding of reception beyond the binary of concentration and distraction. These possibilities converge in the work of Thai filmmaker and artist Apichatpong Weerasethakul, who has explored the subject of sleep systematically throughout his career. In examining Apichatpongs work, Jean Ma brings together an array of interlocutorsfrom Freud to Proust, George Méliès to Tsai Ming-liang, Weegee to Warholto rethink moving images through the lens of sleep. Ma exposes an affinity between cinema, spectatorship, and sleep that dates to the earliest years of filmmaking, and sheds light upon the shifting cultural valences of sleep in the present moment."
Art,(Trans)missions: Monasteries as Sites of Cultural Transfers,Monika Breniínová,1803273259.0,"This volume focuses on the Catholic tradition of consecrated life (vita religiosa) from the High Middle Ages to the present. It gathers papers by authors from various disciplinary backgrounds, in particular art history, history, anthropology and translation studies."
Art,Egypt and the Classical World,Jeffrey Spier,1606067397.0,"Presenting dynamic research, this publication explores two millennia of cultural interactions between Egypt, Greece, and Rome. From Mycenaean weaponry found among the cargo of a Bronze Age shipwreck off the Turkish coast to the Egyptian-inspired domestic interiors of a luxury villa built in Greece during the Roman Empire, Egypt and the Classical World documents two millennia of cultural and artistic interconnectedness in the ancient Mediterranean. This volume gathers pioneering research from the Getty scholars' symposium that helped shape the major international loan exhibition Beyond the Nile: Egypt and the Classical World (J. Paul Getty Museum, 2018). Generously illustrated essays consider a range of artistic and other material evidence, including archaeological finds, artworks, papyri, and inscriptions, to shed light on cultural interactions between Egypt, Greece, and Rome from the Bronze Age to the Late Period and Ptolemaic dynasty to the Roman Empire. The military's role as a conduit of knowledge and ideas in the Bronze Age Aegean, and an in-depth study of hieroglyphic Egyptian inscriptions found on Roman obelisks offer but two examples of scholarly lacunae addressed by this publication. Specialists across the fields of art history, archaeology, Classics, Egyptology, and philology will benefit from the volume's investigations into syncretic processes that enlivened and informed nearly twenty-five hundred years of dynamic cultural exchange. The free online edition of this open-access publication is available at www.getty.edu/publications/egypt-classical-world/ and includes zoomable, high-resolution photography. Also available are free PDF, EPUB, and Kindle/MOBI downloads of the book."
Art,Las reliquias y sus usos,"Alfaro Pérez, Francisco José ",8413116856.0,"Estas V Jornadas internacionales de estudio e innovación sobre Las reliquias y sus cultos, auspiciadas por el Proyecto PIIDUZ_3_214 de la Universidad de Zaragoza, son un foro de encuentro, intercambio de ideas y discusión formado por investigadores, docentes y egresados de las diferentes áreas de saber que componen las titulaciones de Humanidades. En esta ocasión están dedicadas concretamente a Las reliquias y sus usos: de lo terapéutico a lo taumatúrgico donde se tratan fenómenos culturales relacionados necesariamente con la fe y la devoción, pero sobre todo con el empleo de las reliquias como instrumento práctico con el que tratar de resolver algunas necesidades del creyente con todo lo que ello implica, incluyendo su aproximación al mundo mágico. Este año dedicamos la portada y contraportada del volumen al Santo Grial de Valencia, a propósito de un estudio interdisciplinar donde han cabido también los análisis científicos, en contraste con la información que proporciona la propia pieza como objeto y materia."
